algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
ippo,default,5,-289400.66280000005,11463.663739716038,260008.03999999998,8958.060296311707,2939271.92,250561.89926462134,8936883.8,561968.5659239696,0.074876,0.022391718543640197,0.0168788,0.0005567916032987558
mappo,default,5,-307734.4608,12660.564573010093,274333.51999999996,9893.568118741983,3340100.76,276702.34732656495,9841610.02,553664.1990709213,0.070394,0.027751485306440806,0.018204199999999997,0.0006578182823120686
peer,default,5,-293882.86000000004,11538.209442887333,263510.84,9015.674475533868,3037196.92,252252.1520170775,8695644.7,469707.25621721457,0.098212,0.011466347434052402,0.017537000000000004,0.0005295127816398762
