algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
dqn,default,5,-342588.91160000005,13705.266957159201,302132.32,10673.65670566165,4045658.7399999998,303216.27878776746,484508.7,30232.02743477106,0.06323599999999999,0.009994713619188893,0.0212404,0.0004022006919138744
ippo,default,5,-390210.6896,1521.8238544052565,339274.36000000004,1218.1191471875604,5093634.9399999995,30592.855323959186,475860.52,10199.799920557682,0.03521400000000001,0.004145108538217059,0.020799400000000003,0.0004255613637726062
mappo,default,5,-390536.6352,1206.8618264718864,339498.92,929.3490525871529,5103776.6,27949.25578181428,480786.14,8722.635383442752,0.041212,0.0062745395233753986,0.021019,0.00020866775275542578
peer,default,5,-389401.54559999995,1363.4446743234678,338662.04000000004,1072.220106894913,5073959.38,29433.63447549718,472207.0,10008.206648544536,0.035702,0.006415213240290614,0.020934799999999996,0.00021772715380493837
