sweep,city,tokens_emitted_mean,tokens_received_mean,net_received_mean
token_exchange_rate=1.0e-2,0,98.36666666666666,150.86666666666667,52.500000000000014
token_exchange_rate=1.0e-2,1,98.43333333333334,97.83333333333333,-0.6000000000000085
token_exchange_rate=1.0e-2,2,98.46666666666665,78.56666666666666,-19.89999999999999
token_exchange_rate=1.0e-2,3,98.36666666666667,66.36666666666666,-32.000000000000014
token_exchange_rate=1.0e-3,0,98.36666666666667,154.76666666666665,56.39999999999998
token_exchange_rate=1.0e-3,1,98.43333333333334,90.2,-8.233333333333334
token_exchange_rate=1.0e-3,2,98.76666666666667,74.0,-24.766666666666666
token_exchange_rate=1.0e-3,3,98.5,75.10000000000001,-23.39999999999999
token_exchange_rate=2.5e-2,0,98.36666666666667,157.53333333333333,59.16666666666666
token_exchange_rate=2.5e-2,1,98.06666666666666,94.96666666666668,-3.09999999999998
token_exchange_rate=2.5e-2,2,98.63333333333333,71.96666666666667,-26.666666666666657
token_exchange_rate=2.5e-2,3,98.5,69.1,-29.400000000000006
token_exchange_rate=2.5e-3,0,98.73333333333333,150.26666666666668,51.533333333333346
token_exchange_rate=2.5e-3,1,98.39999999999999,106.33333333333333,7.933333333333337
token_exchange_rate=2.5e-3,2,98.63333333333333,73.10000000000001,-25.533333333333317
token_exchange_rate=2.5e-3,3,98.56666666666666,64.63333333333334,-33.93333333333332
